Estados,Universo,Registros
Suspendida,0,0
Terminado Unilateralmente,125,0
Desierta,8473,0
Cancelada,826,0
Finalizada,349614,157980
Adjudicada,46304,21393
Por Adjudicar,57237,25400
Preguntas Respuestas y Aclaraciones,15,5






