Estados,Universo,Registros
Suspendida,1,0
Desierta,549,0
Cancelada,215,0
Finalizada,4226,2274
Adjudicada,660,358
Por Adjudicar,222,99
En Curso,0,0
Audiencia de Preguntas y Aclaraciones,0,0






